"cohort","age","period","window_end_period","loans_at_risk","defaults_3m","rd3m","q","y_logit","mu","residual_after_mean","age_effect","residual_after_age","cohort_effect","residual_after_cohort","period_effect","residual_after_period","fitted_logit","fitted_rd3m","reconstructed_q","risk_base","risk_after_age","risk_after_cohort","risk_after_period","contribution_age","contribution_cohort","contribution_period","contribution_residual","reconstructed_rd3m"
"2018-11-01",32,"2021-07-01","2021-09-01",602,7,0.0116279069767442,0.0124378109452736,-4.37449836825309,-3.80673473380674,-0.567763634446349,0.132416258675008,-0.700179893121357,-0.383668128956006,-0.316511764165351,-0.598645632595379,0.282133868430028,-4.65663223668312,0.00940902628378553,0.0124378109452736,0.0217375941071289,0.0247391376828066,0.0169901294903794,0.00940902628378553,0.00300154357567763,-0.00774900819242721,-0.00758110320659383,0.00221888069295866,0.0116279069767442
"2018-11-01",33,"2021-08-01","2021-10-01",562,9,0.0160142348754448,0.0168738898756661,-4.0649699535422,-3.80673473380674,-0.258235219735456,0.139526428591446,-0.397761648326901,-0.383668128956006,-0.0140935193708953,-0.603066826573219,0.588973307202324,-4.65394326074452,0.00943412196541551,0.0168738898756661,0.0217375941071289,0.0249112664840387,0.0171092884678735,0.00943412196541551,0.0031736723769098,-0.00780197801616526,-0.00767516650245798,0.00658011291002933,0.0160142348754448
"2018-11-01",34,"2021-09-01","2021-11-01",549,7,0.0127504553734062,0.0136363636363636,-4.28128506487235,-3.80673473380674,-0.474550331065609,0.131428628410337,-0.605978959475945,-0.383668128956006,-0.222310830519939,-0.597629828619684,0.375318998099745,-4.65660406297209,0.00940928888039027,0.0136363636363636,0.0217375941071289,0.0247153201974912,0.0169736424843124,0.00940928888039027,0.00297772609036222,-0.00774167771317874,-0.00756435360392216,0.00334116649301592,0.0127504553734062
"2018-12-01",1,"2019-01-01","2019-03-01",1824,9,0.00493421052631579,0.00520547945205479,-5.25282439224789,-3.80673473380674,-1.44608965844115,-1.7073653881347,0.261275729693545,-0.290674468578005,0.55195019827155,0.225471639234264,0.326478559037285,-5.57930295128518,0.00376099759401343,0.0052054794520548,0.0217375941071289,0.00401337969127483,0.00300408216378296,0.00376099759401343,-0.0177242144158541,-0.00100929752749187,0.000756915430230464,0.00117321293230236,0.00493421052631579
"2018-12-01",2,"2019-02-01","2019-04-01",1781,19,0.0106681639528355,0.0109427609427609,-4.50407406911672,-3.80673473380674,-0.697339335309981,-0.802500335743768,0.105161000433787,-0.290674468578005,0.395835469011792,0.0940197986978563,0.301815670313935,-4.80588973943066,0.00811502602090615,0.0109427609427609,0.0217375941071289,0.00986122148763851,0.00739220508414865,0.00811502602090615,-0.0118763726194904,-0.00246901640348986,0.000722820936757503,0.00255313793192933,0.0106681639528355
"2018-12-01",3,"2019-03-01","2019-05-01",1725,30,0.0173913043478261,0.0176709154113557,-4.01800627795233,-3.80673473380674,-0.211271544145586,-0.337459829206784,0.126188285061197,-0.290674468578005,0.416862753639202,0.099039815618788,0.317822938020415,-4.33582921597274,0.012921854115988,0.0176709154113557,0.0217375941071289,0.0156087071675435,0.0117176865080621,0.012921854115988,-0.00612888693958539,-0.00389102065948146,0.00120416760792586,0.00446945023183813,0.0173913043478261
"2018-12-01",4,"2019-04-01","2019-06-01",1676,26,0.0155131264916468,0.0158020274299344,-4.13168881830107,-3.80673473380674,-0.32495408449433,-0.182480278425218,-0.142473806069112,-0.290674468578005,0.148200662508893,0.13539683365246,0.0128038288564337,-4.1444926471575,0.0156041277434414,0.0158020274299344,0.0217375941071289,0.0181776956171205,0.0136551475654465,0.0156041277434414,-0.00355989849000843,-0.00452254805167402,0.00194898017799494,-9.10012517946583e-05,0.0155131264916468
"2018-12-01",5,"2019-05-01","2019-07-01",1611,24,0.0148975791433892,0.0151985111662531,-4.17124261321617,-3.80673473380674,-0.364507879409424,-0.110329660461367,-0.254178218948057,-0.290674468578005,0.0364962496299485,0.125605706799516,-0.0891094571695679,-4.0821331560466,0.0165915151144968,0.0151985111662531,0.0217375941071289,0.019511164970081,0.0146618086340658,0.0165915151144968,-0.00222642913704798,-0.00484935633601516,0.00192970648043096,-0.00169393597110756,0.0148975791433892
"2018-12-01",6,"2019-06-01","2019-08-01",1560,20,0.0128205128205128,0.0131326073030109,-4.31943743189236,-3.80673473380674,-0.512702698085619,-0.00462210480800024,-0.508080593277618,-0.290674468578005,-0.217406124699613,0.311937835130062,-0.529343959829675,-3.79009347206269,0.0220943024922783,0.0131326073030109,0.0217375941071289,0.0216395216911312,0.0162699558371947,0.0220943024922783,-9.8072415997727e-05,-0.00536956585393652,0.00582434665508359,-0.00927378967176546,0.0128205128205128
"2018-12-01",7,"2019-07-01","2019-09-01",1516,21,0.0138522427440633,0.0141727092946605,-4.24216294293639,-3.80673473380674,-0.435428209129644,0.0795860484344686,-0.515014257564113,-0.290674468578005,-0.224339788986108,0.379299877568343,-0.603639666554451,-3.63852327638194,0.0256176235322512,0.0141727092946605,0.0217375941071289,0.0234959992497771,0.0176740944783612,0.0256176235322512,0.00175840514264819,-0.00582190477141596,0.00794352905389,-0.0117653807881878,0.0138522427440633
"2018-12-01",8,"2019-08-01","2019-10-01",1470,23,0.0156462585034014,0.0159755268524813,-4.12059278829704,-3.80673473380674,-0.313858054490296,0.14017796756865,-0.454036022058946,-0.290674468578005,-0.163361553480941,0.331113081031449,-0.49447463451239,-3.62611815378465,0.0259291012552545,0.0159755268524813,0.0217375941071289,0.0249270977186229,0.0187574027908008,0.0259291012552545,0.00318950361149392,-0.00616969492782204,0.00717169846445367,-0.0102828427518531,0.0156462585034014
"2018-12-01",9,"2019-09-01","2019-11-01",1422,29,0.020393811533052,0.0207308503162333,-3.85518358357623,-3.80673473380674,-0.0484488497694877,0.188722894148899,-0.237171743918386,-0.290674468578005,0.0535027246596186,0.279939824453181,-0.226437099793563,-3.62874648378267,0.0258628007445214,0.0207308503162333,0.0217375941071289,0.026134629384257,0.019672088641729,0.0258628007445214,0.00439703527712805,-0.00646254074252803,0.00619071210279241,-0.00546898921146933,0.020393811533052
